"CDC Caceres","GEO CO","14.171","ROTA","448","2019-01-01 00:00:00","TOTAL"
"CDC Catalao","GEO CO","9.735","ROTA","783","2019-01-01 00:00:00","TOTAL"
"CDC Colider","GEO CO","16.485","ROTA","465","2019-01-01 00:00:00","TOTAL"
"CDC Formosa","GEO CO","15.939","ROTA","732","2019-01-01 00:00:00","TOTAL"
"CDC Itumbiara","GEO CO","10.161","ROTA","77","2019-01-01 00:00:00","TOTAL"
"CDC Rio Branco","GEO CO","7.690","ROTA","572","2019-01-01 00:00:00","TOTAL"
"CDC Rio Verde","GEO CO","30.451","ROTA","435","2019-01-01 00:00:00","TOTAL"
"CDC Tangara","GEO CO","9.818","ROTA","829","2019-01-01 00:00:00","TOTAL"
"CDD Brasilia","GEO CO","83.687","ROTA","710","2019-01-01 00:00:00","TOTAL"
"CDD Campo Gde","GEO CO","118","ROTA","454","2019-01-01 00:00:00","TOTAL"
"CDD Cuiaba","GEO CO","55.395","ROTA","455","2019-01-01 00:00:00","TOTAL"
"CDD F. Brasilia","GEO CO","18.645","ROTA","39","2019-01-01 00:00:00","TOTAL"
"CDD Goiania","GEO CO","107","ROTA","453","2019-01-01 00:00:00","TOTAL"
"CDD Manaus","GEO CO","76.291","ROTA","849","2019-01-01 00:00:00","TOTAL"
"CDD Porto Velho","GEO CO","12.351","ROTA","761","2019-01-01 00:00:00","TOTAL"
"CDDRondonopolis","GEO CO","16.847","ROTA","111","2019-01-01 00:00:00","TOTAL"
"CDD Alfenas","GEO MG","18.956","ROTA","820","2019-01-01 00:00:00","TOTAL"
"CDD Ipatinga","GEO MG","19.350","ROTA","45","2019-01-01 00:00:00","TOTAL"
"CDD Minas","GEO MG","62.987","ROTA","95","2019-01-01 00:00:00","TOTAL"
"CDD Pocos Cald","GEO MG","18.757","ROTA","835","2019-01-01 00:00:00","TOTAL"
"CDD Sete Lagoas","GEO MG","19.412","ROTA","189","2019-01-01 00:00:00","TOTAL"
"CDD Uberaba","GEO MG","45.013","ROTA","88","2019-01-01 00:00:00","TOTAL"
"CDD Uberlandia","GEO MG","51.236","ROTA","576","2019-01-01 00:00:00","TOTAL"
"CDD Varginha","GEO MG","23.111","ROTA","322","2019-01-01 00:00:00","TOTAL"
"CDDJoao Monleva","GEO MG","17.600","ROTA","186","2019-01-01 00:00:00","TOTAL"
"CDDPouso Alegre","GEO MG","45.822","ROTA","845","2019-01-01 00:00:00","TOTAL"
"CDL AS Minas","GEO MG","- 0","ROTA","723","2019-01-01 00:00:00","TOTAL"
"CDL Santa Luzia","GEO MG","124.397","ROTA","541","2019-01-01 00:00:00","TOTAL"
"CDC Arapiraca","GEO NE","18.196","ROTA","809","2019-01-01 00:00:00","TOTAL"
"CDC Eunapolis","GEO NE","20.799","ROTA","973","2019-01-01 00:00:00","TOTAL"
"CDD Aracaju","GEO NE","27.165","ROTA","581","2019-01-01 00:00:00","TOTAL"
"CDD Barreiras","GEO NE","18.731","ROTA","295","2019-01-01 00:00:00","TOTAL"
"CDD Brumado","GEO NE","24.534","ROTA","825","2019-01-01 00:00:00","TOTAL"
